212,590,308,86,278,42086,956.5,44,1
212,724,308,86,280,27418,945.45,29,2
212,858,308,86,282,27414,945.31,29,3
212,990,308,86,284,22354,1314.9,17,4
212,1124,308,86,286,11780,906.15,13,5
212,1504,308,66,292,11382,875.54,13,6
212,1258,308,86,288,8332,595.14,14,7
212,1390,308,66,290,8162,742,11,8
212,552,310,30,277,4132,516.5,8,9
212,1578,196,30,293,2462,492.4,5,10
212,686,310,30,279,2188,437.6,5,11
622,138,770,290,5,2080,416,5,12
212,818,310,30,281,1844,368.8,5,13
212,1466,310,30,291,1578,526,3,14
212,504,730,36,59,1484,494.67,3,15
232,194,344,202,4,1270,635,2,16
212,950,310,30,283,1246,623,2,17
1144,1170,238,112,15,1232,410.67,3,18
212,1218,310,30,287,1202,1202,1,19
212,1352,310,30,289,1176,392,3,20
1144,612,238,58,11,990,495,2,21
1144,1506,204,36,18,418,418,1,22
1144,930,238,74,13,342,342,1,23
188,430,1200,44,6,328,328,1,24
208,50,257,70,1,0,NaN,0,25
1253,8,132,32,2,0,NaN,0,26
1179,66,204,42,3,0,NaN,0,27
1144,498,204,36,8,0,NaN,0,28
1358,498,204,36,9,0,NaN,0,29
1144,540,36,36,10,0,NaN,0,30
1144,854,238,232,12,0,NaN,0,31
1144,1044,238,98,14,0,NaN,0,32
1358,1170,204,36,16,0,NaN,0,33
1144,1214,36,36,17,0,NaN,0,34
1358,1506,36,36,19,0,NaN,0,35
1144,1548,238,134,20,0,NaN,0,36
188,1698,1200,92,7,0,NaN,0,37
212,1084,310,30,285,0,NaN,0,38
