180,3,1224,34,2,962,962,1
215,52,240,60,1,4560,570,8
184,144,418,288,4,55972,1017.7,55
611,144,783,288,5,16654,616.81,27
184,432,1209,43,6,51868,909.96,57
212,534,484,228,22,43032,827.54,52
212,885,484,160,24,88540,1475.7,60
212,1045,484,160,27,58144,1490.9,39
212,1205,484,160,20,46808,1418.4,33
742,495,360,215,35,63976,1142.4,56
742,755,360,200,38,98388,1696.3,58
742,955,360,280,41,1.0613e+05,1538.1,69
742,1367,360,95,49,5836,648.44,9
1155,615,230,245,11,20878,745.64,28
1155,1170,230,335,15,36460,847.91,43
188,1698,1200,92,7,13614,800.82,17
